title,company,town,link
Продавець-консультант (ТРЦ Ocean Plaza),Фокстрот,Київ,https://grc.ua/vacancies/69941961
Продавець-консультант магазину цифрової і побутової техніки,Фокстрот,Хмельницький,https://grc.ua/vacancies/69941952
"Продавець-консультант (Софіївська Борщагівка, ЖК Львівський Маєток))(Святопетровське)",Novus,Вишневе,https://grc.ua/vacancies/69942671
"Продавець-консультант в магазин побутової техніки (ТЦ ""Арсен"")",Фокстрот,Львів,https://grc.ua/vacancies/69941950
"Продавець-консультант (ТРЦ ""Піраміда"")",Фокстрот,Київ,https://grc.ua/vacancies/69941946
Продавець-консультант (м. Шулявська),Фокстрот,Київ,https://grc.ua/vacancies/69941943
Продавець-консультант (м. Олімпійська),Фокстрот,Київ,https://grc.ua/vacancies/69941940
Продавець-консультант (м. Дарниця),Фокстрот,Київ,https://grc.ua/vacancies/69941938
Продавець-консультант (Південний Буг),Фокстрот,Миколаїв,https://grc.ua/vacancies/69941936
Продавець продовольчих товарів (Виноградар),Novus,Київ,https://grc.ua/vacancies/69942624
Продавець-консультант,Фокстрот,Миколаїв,https://grc.ua/vacancies/69941913
Продавець-консультант (Корабельний р-н),Фокстрот,Миколаїв,https://grc.ua/vacancies/69941935
Продавець,Novus,Київ,https://grc.ua/vacancies/69942637
Продавець-консультант,Фокстрот,Нікополь,https://grc.ua/vacancies/69941904
Продавець - касир (Комфорт таун),Novus,Київ,https://grc.ua/vacancies/69942651
Продавець-консультант (Виноградар),Novus,Київ,https://grc.ua/vacancies/69942623
Продавець-консультант (Караван),Фокстрот,Дніпро,https://grc.ua/vacancies/69941934
Продавець-консультант,Фокстрот,Южне,https://grc.ua/vacancies/69941908
Продавець за прилавок м`ясний відділ (Дарницький район),Novus,Київ,https://grc.ua/vacancies/69942628
Продавець-консультант,Фокстрот,Умань,https://grc.ua/vacancies/69941928
Продавець-консультант (Голосіївський р-н),Novus,Київ,https://grc.ua/vacancies/69942631
Продавець-консультант (Караван),Фокстрот,Дніпро,https://grc.ua/vacancies/69941931
Продавець,Novus,Київ,https://grc.ua/vacancies/69942635
Продавець за прилавок (відділ кулінарії),Novus,Київ,https://grc.ua/vacancies/69942640
Продавець-консультант,Фокстрот,Фастів,https://grc.ua/vacancies/69941906
Продавець за прилавок (Центр Бучі),Novus,Буча,https://grc.ua/vacancies/69942648
"Продавець за прилавок в новий магазин (Росток, НАУ)",Novus,Київ,https://grc.ua/vacancies/69942659
Продавець за прилавок на рибу (м. ВДНГ),Novus,Київ,https://grc.ua/vacancies/69942630
Продавець-консультант,Фокстрот,Павлоград,https://grc.ua/vacancies/69941902
Продавець (м'ясний відділ),Novus,Тернопіль,https://grc.ua/vacancies/69942636
Продавець-консультант,Фокстрот,Запоріжжя,https://grc.ua/vacancies/69941903
Продавець-консультант,Фокстрот,Кривий Ріг,https://grc.ua/vacancies/69941905
Продавець-консультант,Фокстрот,Запоріжжя,https://grc.ua/vacancies/69941907
Продавець-консультант,Фокстрот,Ізмаїл,https://grc.ua/vacancies/69941910
Продавець за прилавок (відділ гастрономії),Novus,Київ,https://grc.ua/vacancies/69942642
Продавець за прилавок (пр-т Лобановського),Novus,Київ,https://grc.ua/vacancies/69942645
Продавець-консультант,Фокстрот,Подільськ (Одеська область),https://grc.ua/vacancies/69941916
Продавець-консультант (Центр Бучі),Novus,Буча,https://grc.ua/vacancies/69942650
Продавець-консультант,Фокстрот,Херсон,https://grc.ua/vacancies/69941919
Продавець-консультант,Фокстрот,Южноукраїнськ,https://grc.ua/vacancies/69941923
Продавець-консультант,Фокстрот,Буча,https://grc.ua/vacancies/69941930
"Продавець на викладку в новий магазин (Росток, НАУ)",Novus,Київ,https://grc.ua/vacancies/69942658
"Продавець побутової техніки та електроніки (ТЦ ""Променада-парк"")",Фокстрот,Київ,https://grc.ua/vacancies/69941898
"Продавець у магазин побутової техніки та електроніки (ТЦ ""Променада-парк"")",Фокстрот,Київ,https://grc.ua/vacancies/69941901
"Продавець побутової техніки та електроніки (ТРЦ ""Лавина"")",Фокстрот,Київ,https://grc.ua/vacancies/69941897
"Продавець побутової техніки та електроніки (ТЦ ""Ретровіль"")",Фокстрот,Київ,https://grc.ua/vacancies/69941899
"Продавець побутової техніки та електроніки (ТЦ ""Хітмолл"")",Фокстрот,Київ,https://grc.ua/vacancies/69941900
"Продавець непродовольчих товарів (ТЦ ""ЧеріМол"")",Фокстрот,Вишневе,https://grc.ua/vacancies/69941881
Продавець побутової техніки,Фокстрот,Бориспіль,https://grc.ua/vacancies/69941882
Торговий представник з мед. техніки (робота з аптеками),Юг-Контракт,Ужгород,https://grc.ua/vacancies/69940646
Танцівниця,Dolls,Київ,https://grc.ua/vacancies/69942558
Касир Теремки (Ашан Глушкова),Ашан Рітейл Україна,Київ,https://grc.ua/vacancies/69941431
"Продавець, комплектувальник товарів (Ашан Глушкова)",Ашан Рітейл Україна,Київ,https://grc.ua/vacancies/69941389
Старший касир (Ашан Вільямса),Ашан Рітейл Україна,Київ,https://grc.ua/vacancies/69941878
"Комірник (Запорізьке шосе, 62-к)",Епіцентр К,Дніпро,https://grc.ua/vacancies/69941856
Продавець непродовольчих товарів,Епіцентр К,Дніпро,https://grc.ua/vacancies/69941859
Керуючий магазином,Фокстрот,Івано-Франківськ,https://grc.ua/vacancies/69941867
"Охоронник (Запорізьке шосе, 62-к)",Епіцентр К,Дніпро,https://grc.ua/vacancies/69941858
"Касир торговельного залу (Запорізьке шосе, 62-к)",Епіцентр К,Дніпро,https://grc.ua/vacancies/69941852
Продавець за прилавок (Деснянський р-н),Novus,Київ,https://grc.ua/vacancies/69942609
Фахівець по роботі з сирами,Novus,Київ,https://grc.ua/vacancies/69942604
Продавець за прилавок на рибу (Оболонський р-н),Novus,Київ,https://grc.ua/vacancies/69942610
Продавець касир,Novus,Київ,https://grc.ua/vacancies/69942547
Продавець продовольчих товарів (Оболонь),Novus,Київ,https://grc.ua/vacancies/69942556
